
==== Start experiment: replay capacity (max_mem_size)=1000, batch_size=128 ====
[buffer 1000] >>> SUCCESS #1 | ep 0 | score 9401.53 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 1000] >>> SUCCESS #10 | ep 35 | score 9505.52 | last_reward 3000.0 | loss 21.818 | eps 0.050 | steps 89 | mem 2170/1000 | tries_since_last=0 | 180 ms
[buffer 1000] ep    35 | SUCCESS | score   9505.52 | last_reward 3000.0 | loss  21.818 | eps 0.050 | steps   89 | mem 2170/1000 | tries_since_last=0 | 180 ms
[buffer 1000] >>> SUCCESS #11 | ep 36 | score 9487.11 | last_reward 3000.0 | loss 25.267 | eps 0.050 | steps 89 | mem 2259/1000 | tries_since_last=0 | 184 ms
[buffer 1000] ep    36 | SUCCESS | score   9487.11 | last_reward 3000.0 | loss  25.267 | eps 0.050 | steps   89 | mem 2259/1000 | tries_since_last=0 | 184 ms
[buffer 1000] >>> SUCCESS #12 | ep 37 | score 9484.66 | last_reward 3000.0 | loss 28.768 | eps 0.050 | steps 89 | mem 2348/1000 | tries_since_last=0 | 179 ms
[buffer 1000] ep    37 | SUCCESS | score   9484.66 | last_reward 3000.0 | loss  28.768 | eps 0.050 | steps   89 | mem 2348/1000 | tries_since_last=0 | 179 ms
[buffer 1000] >>> SUCCESS #13 | ep 38 | score 9429.98 | last_reward 3000.0 | loss 30.660 | eps 0.050 | steps 88 | mem 2436/1000 | tries_since_last=0 | 167 ms
[buffer 1000] ep    38 | SUCCESS | score   9429.98 | last_reward 3000.0 | loss  30.660 | eps 0.050 | steps   88 | mem 2436/1000 | tries_since_last=0 | 167 ms
[buffer 1000] >>> SUCCESS #14 | ep 39 | score 9446.46 | last_reward 3000.0 | loss 31.509 | eps 0.050 | steps 88 | mem 2524/1000 | tries_since_last=0 | 187 ms
[buffer 1000] ep    39 | SUCCESS | score   9446.46 | last_reward 3000.0 | loss  31.509 | eps 0.050 | steps   88 | mem 2524/1000 | tries_since_last=0 | 187 ms
[buffer 1000] >>> SUCCESS #15 | ep 40 | score 9442.72 | last_reward 3000.0 | loss 28.713 | eps 0.050 | steps 88 | mem 2612/1000 | tries_since_last=0 | 155 ms
[buffer 1000] ep    40 | SUCCESS | score   9442.72 | last_reward 3000.0 | loss  28.713 | eps 0.050 | steps   88 | mem 2612/1000 | tries_since_last=0 | 155 ms
[buffer 1000] >>> SUCCESS #16 | ep 41 | score 9440.66 | last_reward 3000.0 | loss 33.158 | eps 0.050 | steps 88 | mem 2700/1000 | tries_since_last=0 | 157 ms
[buffer 1000] ep    41 | SUCCESS | score   9440.66 | last_reward 3000.0 | loss  33.158 | eps 0.050 | steps   88 | mem 2700/1000 | tries_since_last=0 | 157 ms
[buffer 1000] >>> SUCCESS #17 | ep 42 | score 9455.21 | last_reward 3000.0 | loss 34.424 | eps 0.050 | steps 88 | mem 2788/1000 | tries_since_last=0 | 145 ms
[buffer 1000] ep    42 | SUCCESS | score   9455.21 | last_reward 3000.0 | loss  34.424 | eps 0.050 | steps   88 | mem 2788/1000 | tries_since_last=0 | 145 ms
[buffer 1000] >>> SUCCESS #18 | ep 43 | score 9453.88 | last_reward 3000.0 | loss 34.399 | eps 0.050 | steps 88 | mem 2876/1000 | tries_since_last=0 | 160 ms
[buffer 1000] ep    43 | SUCCESS | score   9453.88 | last_reward 3000.0 | loss  34.399 | eps 0.050 | steps   88 | mem 2876/1000 | tries_since_last=0 | 160 ms
[buffer 1000] >>> SUCCESS #19 | ep 44 | score 9500.12 | last_reward 3000.0 | loss 35.543 | eps 0.050 | steps 89 | mem 2965/1000 | tries_since_last=0 | 171 ms
[buffer 1000] ep    44 | SUCCESS | score   9500.12 | last_reward 3000.0 | loss  35.543 | eps 0.050 | steps   89 | mem 2965/1000 | tries_since_last=0 | 171 ms
[buffer 1000] >>> SUCCESS #20 | ep 45 | score 9442.70 | last_reward 3000.0 | loss 37.224 | eps 0.050 | steps 88 | mem 3053/1000 | tries_since_last=0 | 156 ms
[buffer 1000] ep    45 | SUCCESS | score   9442.70 | last_reward 3000.0 | loss  37.224 | eps 0.050 | steps   88 | mem 3053/1000 | tries_since_last=0 | 156 ms
[buffer 1000] >>> SUCCESS #21 | ep 46 | score 9430.69 | last_reward 3000.0 | loss 36.939 | eps 0.050 | steps 88 | mem 3141/1000 | tries_since_last=0 | 153 ms
[buffer 1000] ep    46 | SUCCESS | score   9430.69 | last_reward 3000.0 | loss  36.939 | eps 0.050 | steps   88 | mem 3141/1000 | tries_since_last=0 | 153 ms
[buffer 1000] >>> SUCCESS #22 | ep 47 | score 9447.91 | last_reward 3000.0 | loss 33.821 | eps 0.050 | steps 88 | mem 3229/1000 | tries_since_last=0 | 166 ms
[buffer 1000] ep    47 | SUCCESS | score   9447.91 | last_reward 3000.0 | loss  33.821 | eps 0.050 | steps   88 | mem 3229/1000 | tries_since_last=0 | 166 ms
[buffer 1000] >>> SUCCESS #23 | ep 48 | score 9454.52 | last_reward 3000.0 | loss 35.102 | eps 0.050 | steps 88 | mem 3317/1000 | tries_since_last=0 | 149 ms
[buffer 1000] ep    48 | SUCCESS | score   9454.52 | last_reward 3000.0 | loss  35.102 | eps 0.050 | steps   88 | mem 3317/1000 | tries_since_last=0 | 149 ms
[buffer 1000] >>> SUCCESS #24 | ep 49 | score 9449.19 | last_reward 3000.0 | loss 30.945 | eps 0.050 | steps 88 | mem 3405/1000 | tries_since_last=0 | 166 ms
[buffer 1000] ep    49 | SUCCESS | score   9449.19 | last_reward 3000.0 | loss  30.945 | eps 0.050 | steps   88 | mem 3405/1000 | tries_since_last=0 | 166 ms
[buffer 1000] >>> SUCCESS #25 | ep 50 | score 9436.77 | last_reward 3000.0 | loss 35.342 | eps 0.050 | steps 88 | mem 3493/1000 | tries_since_last=0 | 152 ms
[buffer 1000] ep    50 | SUCCESS | score   9436.77 | last_reward 3000.0 | loss  35.342 | eps 0.050 | steps   88 | mem 3493/1000 | tries_since_last=0 | 152 ms
[buffer 1000] >>> SUCCESS #26 | ep 51 | score 9440.18 | last_reward 3000.0 | loss 34.303 | eps 0.050 | steps 88 | mem 3581/1000 | tries_since_last=0 | 155 ms
[buffer 1000] ep    51 | SUCCESS | score   9440.18 | last_reward 3000.0 | loss  34.303 | eps 0.050 | steps   88 | mem 3581/1000 | tries_since_last=0 | 155 ms
[buffer 1000] >>> SUCCESS #27 | ep 52 | score 9457.34 | last_reward 3000.0 | loss 30.943 | eps 0.050 | steps 88 | mem 3669/1000 | tries_since_last=0 | 155 ms
[buffer 1000] ep    52 | SUCCESS | score   9457.34 | last_reward 3000.0 | loss  30.943 | eps 0.050 | steps   88 | mem 3669/1000 | tries_since_last=0 | 155 ms
[buffer 1000] >>> SUCCESS #28 | ep 53 | score 9453.60 | last_reward 3000.0 | loss 36.124 | eps 0.050 | steps 88 | mem 3757/1000 | tries_since_last=0 | 141 ms
[buffer 1000] ep    53 | SUCCESS | score   9453.60 | last_reward 3000.0 | loss  36.124 | eps 0.050 | steps   88 | mem 3757/1000 | tries_since_last=0 | 141 ms
[buffer 1000] >>> SUCCESS #29 | ep 54 | score 9456.49 | last_reward 3000.0 | loss 31.195 | eps 0.050 | steps 88 | mem 3845/1000 | tries_since_last=0 | 158 ms
[buffer 1000] ep    54 | SUCCESS | score   9456.49 | last_reward 3000.0 | loss  31.195 | eps 0.050 | steps   88 | mem 3845/1000 | tries_since_last=0 | 158 ms
[buffer 1000] >>> SUCCESS #30 | ep 55 | score 9444.45 | last_reward 3000.0 | loss 31.981 | eps 0.050 | steps 88 | mem 3933/1000 | tries_since_last=0 | 158 ms
[buffer 1000] ep    55 | SUCCESS | score   9444.45 | last_reward 3000.0 | loss  31.981 | eps 0.050 | steps   88 | mem 3933/1000 | tries_since_last=0 | 158 ms
[buffer 1000] >>> SUCCESS #31 | ep 56 | score 9454.41 | last_reward 3000.0 | loss 48.229 | eps 0.050 | steps 88 | mem 4021/1000 | tries_since_last=0 | 165 ms
[buffer 1000] ep    56 | SUCCESS | score   9454.41 | last_reward 3000.0 | loss  48.229 | eps 0.050 | steps   88 | mem 4021/1000 | tries_since_last=0 | 165 ms
[buffer 1000] >>> SUCCESS #32 | ep 57 | score 9462.78 | last_reward 3000.0 | loss 57.881 | eps 0.050 | steps 89 | mem 4110/1000 | tries_since_last=0 | 168 ms
[buffer 1000] ep    57 | SUCCESS | score   9462.78 | last_reward 3000.0 | loss  57.881 | eps 0.050 | steps   89 | mem 4110/1000 | tries_since_last=0 | 168 ms
[buffer 1000] >>> SUCCESS #33 | ep 58 | score 9456.62 | last_reward 3000.0 | loss 34.918 | eps 0.050 | steps 88 | mem 4198/1000 | tries_since_last=0 | 163 ms
[buffer 1000] ep    58 | SUCCESS | score   9456.62 | last_reward 3000.0 | loss  34.918 | eps 0.050 | steps   88 | mem 4198/1000 | tries_since_last=0 | 163 ms
[buffer 1000] >>> SUCCESS #34 | ep 59 | score 9499.14 | last_reward 3000.0 | loss 30.975 | eps 0.050 | steps 89 | mem 4287/1000 | tries_since_last=0 | 163 ms
[buffer 1000] ep    59 | SUCCESS | score   9499.14 | last_reward 3000.0 | loss  30.975 | eps 0.050 | steps   89 | mem 4287/1000 | tries_since_last=0 | 163 ms
[buffer 1000] >>> SUCCESS #35 | ep 60 | score 9490.04 | last_reward 3000.0 | loss 28.139 | eps 0.050 | steps 89 | mem 4376/1000 | tries_since_last=0 | 171 ms
[buffer 1000] ep    60 | SUCCESS | score   9490.04 | last_reward 3000.0 | loss  28.139 | eps 0.050 | steps   89 | mem 4376/1000 | tries_since_last=0 | 171 ms
[buffer 1000] >>> SUCCESS #36 | ep 61 | score 9442.84 | last_reward 3000.0 | loss 32.397 | eps 0.050 | steps 88 | mem 4464/1000 | tries_since_last=0 | 155 ms
[buffer 1000] ep    61 | SUCCESS | score   9442.84 | last_reward 3000.0 | loss  32.397 | eps 0.050 | steps   88 | mem 4464/1000 | tries_since_last=0 | 155 ms
[buffer 1000] >>> SUCCESS #37 | ep 62 | score 9509.03 | last_reward 3000.0 | loss 29.736 | eps 0.050 | steps 89 | mem 4553/1000 | tries_since_last=0 | 163 ms
[buffer 1000] ep    62 | SUCCESS | score   9509.03 | last_reward 3000.0 | loss  29.736 | eps 0.050 | steps   89 | mem 4553/1000 | tries_since_last=0 | 163 ms
[buffer 1000] >>> SUCCESS #38 | ep 63 | score 9501.01 | last_reward 3000.0 | loss 33.993 | eps 0.050 | steps 89 | mem 4642/1000 | tries_since_last=0 | 150 ms
[buffer 1000] ep    63 | SUCCESS | score   9501.01 | last_reward 3000.0 | loss  33.993 | eps 0.050 | steps   89 | mem 4642/1000 | tries_since_last=0 | 150 ms
[buffer 1000] >>> SUCCESS #39 | ep 64 | score 9437.65 | last_reward 3000.0 | loss 33.823 | eps 0.050 | steps 88 | mem 4730/1000 | tries_since_last=0 | 162 ms
[buffer 1000] ep    64 | SUCCESS | score   9437.65 | last_reward 3000.0 | loss  33.823 | eps 0.050 | steps   88 | mem 4730/1000 | tries_since_last=0 | 162 ms
[buffer 1000] >>> SUCCESS #40 | ep 65 | score 9443.05 | last_reward 3000.0 | loss 33.557 | eps 0.050 | steps 88 | mem 4818/1000 | tries_since_last=0 | 149 ms
[buffer 1000] ep    65 | SUCCESS | score   9443.05 | last_reward 3000.0 | loss  33.557 | eps 0.050 | steps   88 | mem 4818/1000 | tries_since_last=0 | 149 ms
[buffer 1000] >>> SUCCESS #41 | ep 66 | score 9425.57 | last_reward 3000.0 | loss 34.079 | eps 0.050 | steps 88 | mem 4906/1000 | tries_since_last=0 | 157 ms
[buffer 1000] ep    66 | SUCCESS | score   9425.57 | last_reward 3000.0 | loss  34.079 | eps 0.050 | steps   88 | mem 4906/1000 | tries_since_last=0 | 157 ms
[buffer 1000] >>> SUCCESS #42 | ep 67 | score 9441.29 | last_reward 3000.0 | loss 31.814 | eps 0.050 | steps 88 | mem 4994/1000 | tries_since_last=0 | 156 ms
[buffer 1000] ep    67 | SUCCESS | score   9441.29 | last_reward 3000.0 | loss  31.814 | eps 0.050 | steps   88 | mem 4994/1000 | tries_since_last=0 | 156 ms
[buffer 1000] >>> SUCCESS #43 | ep 68 | score 9476.92 | last_reward 3000.0 | loss 30.381 | eps 0.050 | steps 90 | mem 5084/1000 | tries_since_last=0 | 156 ms
[buffer 1000] ep    68 | SUCCESS | score   9476.92 | last_reward 3000.0 | loss  30.381 | eps 0.050 | steps   90 | mem 5084/1000 | tries_since_last=0 | 156 ms
[buffer 1000] >>> SUCCESS #44 | ep 69 | score 9495.18 | last_reward 3000.0 | loss 33.361 | eps 0.050 | steps 90 | mem 5174/1000 | tries_since_last=0 | 156 ms
[buffer 1000] ep    69 | SUCCESS | score   9495.18 | last_reward 3000.0 | loss  33.361 | eps 0.050 | steps   90 | mem 5174/1000 | tries_since_last=0 | 156 ms
[buffer 1000] >>> SUCCESS #45 | ep 70 | score 9497.54 | last_reward 3000.0 | loss 34.484 | eps 0.050 | steps 89 | mem 5263/1000 | tries_since_last=0 | 156 ms
[buffer 1000] ep    70 | SUCCESS | score   9497.54 | last_reward 3000.0 | loss  34.484 | eps 0.050 | steps   89 | mem 5263/1000 | tries_since_last=0 | 156 ms
[buffer 1000] >>> SUCCESS #46 | ep 71 | score 9507.22 | last_reward 3000.0 | loss 33.707 | eps 0.050 | steps 89 | mem 5352/1000 | tries_since_last=0 | 154 ms
[buffer 1000] ep    71 | SUCCESS | score   9507.22 | last_reward 3000.0 | loss  33.707 | eps 0.050 | steps   89 | mem 5352/1000 | tries_since_last=0 | 154 ms
[buffer 1000] >>> SUCCESS #47 | ep 72 | score 9436.30 | last_reward 3000.0 | loss 33.079 | eps 0.050 | steps 88 | mem 5440/1000 | tries_since_last=0 | 147 ms
[buffer 1000] ep    72 | SUCCESS | score   9436.30 | last_reward 3000.0 | loss  33.079 | eps 0.050 | steps   88 | mem 5440/1000 | tries_since_last=0 | 147 ms
[buffer 1000] >>> SUCCESS #48 | ep 73 | score 9490.55 | last_reward 3000.0 | loss 34.208 | eps 0.050 | steps 89 | mem 5529/1000 | tries_since_last=0 | 152 ms
[buffer 1000] ep    73 | SUCCESS | score   9490.55 | last_reward 3000.0 | loss  34.208 | eps 0.050 | steps   89 | mem 5529/1000 | tries_since_last=0 | 152 ms
[buffer 1000] >>> SUCCESS #49 | ep 74 | score 9495.31 | last_reward 3000.0 | loss 33.459 | eps 0.050 | steps 89 | mem 5618/1000 | tries_since_last=0 | 162 ms
[buffer 1000] ep    74 | SUCCESS | score   9495.31 | last_reward 3000.0 | loss  33.459 | eps 0.050 | steps   89 | mem 5618/1000 | tries_since_last=0 | 162 ms
[buffer 1000] >>> SUCCESS #50 | ep 75 | score 9478.80 | last_reward 3000.0 | loss 30.214 | eps 0.050 | steps 89 | mem 5707/1000 | tries_since_last=0 | 162 ms
[buffer 1000] ep    75 | SUCCESS | score   9478.80 | last_reward 3000.0 | loss  30.214 | eps 0.050 | steps   89 | mem 5707/1000 | tries_since_last=0 | 162 ms

==== Summary (capacity=1000) ====
episodes: 76
successes: 50
success_rate: 0.658
avg_score: 6912.08
std_score: 3632.16
avg_loss: 27.232
avg_epsilon: 0.330
avg_tries: 0.52
tries_std: 2.77
time_min: 0.15
episodes_per_min: 499.3



==== Start experiment: replay capacity (max_mem_size)=5000, batch_size=128 ====
[buffer 5000] ep     0 | fail    | score   3936.25 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   79 | mem 79/5000 | tries=1 | 2 ms
[buffer 5000] ep     1 | fail    | score   3961.53 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   82 | mem 161/5000 | tries=2 | 2 ms
[buffer 5000] ep     2 | fail    | score   1157.25 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps  101 | mem 262/5000 | tries=3 | 3 ms
[buffer 5000] ep     3 | fail    | score   1982.69 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   75 | mem 337/5000 | tries=4 | 2 ms
[buffer 5000] >>> SUCCESS #1 | ep 4 | score 9450.58 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 100 | mem 437/5000 | tries_since_last=4 | 2 ms
[buffer 5000] ep     4 | SUCCESS | score   9450.58 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  100 | mem 437/5000 | tries_since_last=4 | 2 ms
[buffer 5000] ep     5 | fail    | score   4373.15 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   82 | mem 519/5000 | tries=1 | 2 ms
[buffer 5000] ep     6 | fail    | score   3474.21 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   72 | mem 591/5000 | tries=2 | 3 ms
[buffer 5000] >>> SUCCESS #2 | ep 7 | score 9417.82 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 116 | mem 707/5000 | tries_since_last=2 | 3 ms
[buffer 5000] ep     7 | SUCCESS | score   9417.82 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  116 | mem 707/5000 | tries_since_last=2 | 3 ms
[buffer 5000] ep     8 | fail    | score   1911.80 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   52 | mem 759/5000 | tries=1 | 1 ms
[buffer 5000] ep     9 | fail    | score   2415.48 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   66 | mem 825/5000 | tries=2 | 2 ms
[buffer 5000] ep    10 | fail    | score   2251.68 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   87 | mem 912/5000 | tries=3 | 2 ms
[buffer 5000] ep    11 | fail    | score   2326.55 | last_reward -500.0 | loss  52.595 | eps 0.867 | steps  120 | mem 1032/5000 | tries=4 | 79 ms
[buffer 5000] ep    12 | fail    | score   3591.91 | last_reward -500.0 | loss  51.538 | eps 0.797 | steps   70 | mem 1102/5000 | tries=5 | 114 ms
[buffer 5000] ep    13 | fail    | score   4468.99 | last_reward -500.0 | loss  36.724 | eps 0.667 | steps  130 | mem 1232/5000 | tries=6 | 222 ms
[buffer 5000] ep    14 | fail    | score    299.89 | last_reward -500.0 | loss  25.355 | eps 0.642 | steps   25 | mem 1257/5000 | tries=7 | 48 ms
[buffer 5000] ep    15 | fail    | score    584.54 | last_reward -500.0 | loss  20.608 | eps 0.614 | steps   28 | mem 1285/5000 | tries=8 | 48 ms
[buffer 5000] >>> SUCCESS #3 | ep 16 | score 9405.70 | last_reward 3000.0 | loss 19.668 | eps 0.518 | steps 96 | mem 1381/5000 | tries_since_last=8 | 171 ms
[buffer 5000] ep    16 | SUCCESS | score   9405.70 | last_reward 3000.0 | loss  19.668 | eps 0.518 | steps   96 | mem 1381/5000 | tries_since_last=8 | 171 ms
[buffer 5000] ep    17 | fail    | score   4411.51 | last_reward -500.0 | loss  15.553 | eps 0.438 | steps   80 | mem 1461/5000 | tries=1 | 161 ms
[buffer 5000] >>> SUCCESS #4 | ep 18 | score 9431.28 | last_reward 3000.0 | loss 13.299 | eps 0.348 | steps 90 | mem 1551/5000 | tries_since_last=1 | 179 ms
[buffer 5000] ep    18 | SUCCESS | score   9431.28 | last_reward 3000.0 | loss  13.299 | eps 0.348 | steps   90 | mem 1551/5000 | tries_since_last=1 | 179 ms
[buffer 5000] >>> SUCCESS #5 | ep 19 | score 9426.76 | last_reward 3000.0 | loss 13.265 | eps 0.256 | steps 92 | mem 1643/5000 | tries_since_last=0 | 160 ms
[buffer 5000] ep    19 | SUCCESS | score   9426.76 | last_reward 3000.0 | loss  13.265 | eps 0.256 | steps   92 | mem 1643/5000 | tries_since_last=0 | 160 ms
[buffer 5000] >>> SUCCESS #6 | ep 20 | score 9399.17 | last_reward 3000.0 | loss 13.742 | eps 0.165 | steps 91 | mem 1734/5000 | tries_since_last=0 | 154 ms
[buffer 5000] ep    20 | SUCCESS | score   9399.17 | last_reward 3000.0 | loss  13.742 | eps 0.165 | steps   91 | mem 1734/5000 | tries_since_last=0 | 154 ms
[buffer 5000] >>> SUCCESS #7 | ep 21 | score 9435.70 | last_reward 3000.0 | loss 14.451 | eps 0.075 | steps 90 | mem 1824/5000 | tries_since_last=0 | 175 ms
[buffer 5000] ep    21 | SUCCESS | score   9435.70 | last_reward 3000.0 | loss  14.451 | eps 0.075 | steps   90 | mem 1824/5000 | tries_since_last=0 | 175 ms
