
==== Running experiments with batch_size: 4 (fixed replay capacity=100000) ====
[batch 4] fail          | ep 0 | score 2782.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 58 | fails_since_last 1
[batch 4] fail          | ep 26 | score 334.1 | last_reward -500.0 | loss 45.718 | eps 0.229 | steps 22 | fails_since_last 9
[batch 4] fail          | ep 27 | score 206.4 | last_reward -500.0 | loss 10.943 | eps 0.202 | steps 27 | fails_since_last 10
[batch 4] >>> SUCCESS #8 | ep 28 | score 9442.2 | last_reward 3000.0 | loss 27.373 | eps 0.112 | steps 90 | attempts 11 (fails 10+1)
[batch 4] fail          | ep 29 | score 1318.1 | last_reward -500.0 | loss 12.996 | eps 0.079 | steps 33 | fails_since_last 1
[batch 4] fail          | ep 30 | score 107.8 | last_reward -500.0 | loss 4.670 | eps 0.059 | steps 20 | fails_since_last 2
[batch 4] fail          | ep 31 | score 380.4 | last_reward -500.0 | loss 50.686 | eps 0.050 | steps 22 | fails_since_last 3
[batch 4] fail          | ep 32 | score 912.9 | last_reward -500.0 | loss 30.496 | eps 0.050 | steps 28 | fails_since_last 4
[batch 4] fail          | ep 33 | score 287.7 | last_reward -500.0 | loss 73.465 | eps 0.050 | steps 25 | fails_since_last 5
[batch 4] fail          | ep 34 | score 2497.2 | last_reward -500.0 | loss 27.224 | eps 0.050 | steps 55 | fails_since_last 6
[batch 4] fail          | ep 35 | score 200.1 | last_reward -500.0 | loss 40.295 | eps 0.050 | steps 21 | fails_since_last 7
[batch 4] fail          | ep 36 | score 344.0 | last_reward -500.0 | loss 43.358 | eps 0.050 | steps 22 | fails_since_last 8
[batch 4] fail          | ep 37 | score 1110.9 | last_reward -500.0 | loss 24.904 | eps 0.050 | steps 34 | fails_since_last 9
[batch 4] fail          | ep 38 | score 2867.0 | last_reward -500.0 | loss 26.344 | eps 0.050 | steps 51 | fails_since_last 10
[batch 4] fail          | ep 39 | score 270.8 | last_reward -500.0 | loss 4.643 | eps 0.050 | steps 23 | fails_since_last 11
[batch 4] fail          | ep 40 | score 535.3 | last_reward -500.0 | loss 47.600 | eps 0.050 | steps 24 | fails_since_last 12
[batch 4] fail          | ep 41 | score 3079.6 | last_reward -500.0 | loss 22.412 | eps 0.050 | steps 59 | fails_since_last 13
[batch 4] fail          | ep 42 | score 2216.0 | last_reward -500.0 | loss 6.725 | eps 0.050 | steps 43 | fails_since_last 14
[batch 4] fail          | ep 43 | score 5675.3 | last_reward -500.0 | loss 29.582 | eps 0.050 | steps 87 | fails_since_last 15
[batch 4] fail          | ep 44 | score 3747.7 | last_reward -500.0 | loss 17.054 | eps 0.050 | steps 62 | fails_since_last 16
[batch 4] fail          | ep 45 | score 5295.9 | last_reward -500.0 | loss 36.102 | eps 0.050 | steps 83 | fails_since_last 17
[batch 4] fail          | ep 46 | score 609.8 | last_reward -500.0 | loss 73.112 | eps 0.050 | steps 25 | fails_since_last 18
[batch 4] >>> SUCCESS #9 | ep 47 | score 9424.1 | last_reward 3000.0 | loss 16.293 | eps 0.050 | steps 89 | attempts 19 (fails 18+1)
[batch 4] >>> SUCCESS #10 | ep 48 | score 9502.4 | last_reward 3000.0 | loss 10.843 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #11 | ep 49 | score 9504.0 | last_reward 3000.0 | loss 4.348 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #12 | ep 50 | score 9435.6 | last_reward 3000.0 | loss 14.803 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #13 | ep 51 | score 9468.2 | last_reward 3000.0 | loss 24.951 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #14 | ep 52 | score 9375.2 | last_reward 3000.0 | loss 5.673 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #15 | ep 53 | score 9447.6 | last_reward 3000.0 | loss 11.571 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #16 | ep 54 | score 9425.2 | last_reward 3000.0 | loss 49.160 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #17 | ep 55 | score 9483.8 | last_reward 3000.0 | loss 26.213 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #18 | ep 56 | score 9449.9 | last_reward 3000.0 | loss 30.167 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #19 | ep 57 | score 9479.7 | last_reward 3000.0 | loss 33.567 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #20 | ep 58 | score 9501.4 | last_reward 3000.0 | loss 33.931 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #21 | ep 59 | score 9445.4 | last_reward 3000.0 | loss 16.258 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #22 | ep 60 | score 9486.9 | last_reward 3000.0 | loss 47.373 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #23 | ep 61 | score 9425.1 | last_reward 3000.0 | loss 44.162 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #24 | ep 62 | score 9469.2 | last_reward 3000.0 | loss 12.560 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #25 | ep 63 | score 9438.7 | last_reward 3000.0 | loss 27.324 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #26 | ep 64 | score 9440.3 | last_reward 3000.0 | loss 35.115 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #27 | ep 65 | score 9441.4 | last_reward 3000.0 | loss 50.951 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #28 | ep 66 | score 9462.6 | last_reward 3000.0 | loss 26.727 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #29 | ep 67 | score 9479.1 | last_reward 3000.0 | loss 23.495 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #30 | ep 68 | score 9475.6 | last_reward 3000.0 | loss 22.595 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #31 | ep 69 | score 9499.0 | last_reward 3000.0 | loss 26.948 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #32 | ep 70 | score 9436.4 | last_reward 3000.0 | loss 58.676 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #33 | ep 71 | score 9443.1 | last_reward 3000.0 | loss 12.027 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #34 | ep 72 | score 9410.7 | last_reward 3000.0 | loss 34.782 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #35 | ep 73 | score 9488.3 | last_reward 3000.0 | loss 16.967 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #36 | ep 74 | score 9467.9 | last_reward 3000.0 | loss 28.529 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #37 | ep 75 | score 9443.1 | last_reward 3000.0 | loss 10.068 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #38 | ep 76 | score 9441.7 | last_reward 3000.0 | loss 10.048 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #39 | ep 77 | score 9464.6 | last_reward 3000.0 | loss 27.686 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #40 | ep 78 | score 9493.3 | last_reward 3000.0 | loss 21.243 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #41 | ep 79 | score 9489.0 | last_reward 3000.0 | loss 9.700 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #42 | ep 80 | score 9432.5 | last_reward 3000.0 | loss 12.948 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #43 | ep 81 | score 9507.7 | last_reward 3000.0 | loss 13.004 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #44 | ep 82 | score 9493.7 | last_reward 3000.0 | loss 21.993 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #45 | ep 83 | score 9509.2 | last_reward 3000.0 | loss 38.592 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #46 | ep 84 | score 9490.0 | last_reward 3000.0 | loss 24.554 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #47 | ep 85 | score 9425.4 | last_reward 3000.0 | loss 34.093 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #48 | ep 86 | score 9427.3 | last_reward 3000.0 | loss 4.696 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #49 | ep 87 | score 9500.6 | last_reward 3000.0 | loss 27.628 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #50 | ep 88 | score 9443.9 | last_reward 3000.0 | loss 37.111 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #51 | ep 89 | score 9433.2 | last_reward 3000.0 | loss 11.298 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #52 | ep 90 | score 9500.4 | last_reward 3000.0 | loss 60.674 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #53 | ep 91 | score 9452.0 | last_reward 3000.0 | loss 28.869 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #54 | ep 92 | score 9432.0 | last_reward 3000.0 | loss 24.534 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #55 | ep 93 | score 9501.5 | last_reward 3000.0 | loss 14.506 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #56 | ep 94 | score 9444.3 | last_reward 3000.0 | loss 30.570 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #57 | ep 95 | score 9505.7 | last_reward 3000.0 | loss 36.137 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #58 | ep 96 | score 9509.7 | last_reward 3000.0 | loss 19.076 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #59 | ep 97 | score 9497.9 | last_reward 3000.0 | loss 57.534 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #60 | ep 98 | score 9446.7 | last_reward 3000.0 | loss 25.079 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #61 | ep 99 | score 9462.3 | last_reward 3000.0 | loss 29.855 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #62 | ep 100 | score 9449.3 | last_reward 3000.0 | loss 62.676 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #63 | ep 101 | score 9449.4 | last_reward 3000.0 | loss 19.632 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #64 | ep 102 | score 9501.2 | last_reward 3000.0 | loss 46.943 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #65 | ep 103 | score 9442.3 | last_reward 3000.0 | loss 27.421 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #66 | ep 104 | score 9483.6 | last_reward 3000.0 | loss 19.423 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #67 | ep 105 | score 9496.0 | last_reward 3000.0 | loss 36.883 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #68 | ep 106 | score 9513.0 | last_reward 3000.0 | loss 48.485 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #69 | ep 107 | score 9446.8 | last_reward 3000.0 | loss 25.242 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #70 | ep 108 | score 9441.4 | last_reward 3000.0 | loss 3.845 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #71 | ep 109 | score 9492.6 | last_reward 3000.0 | loss 32.544 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #72 | ep 110 | score 9492.2 | last_reward 3000.0 | loss 5.162 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #73 | ep 111 | score 9453.9 | last_reward 3000.0 | loss 17.136 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #74 | ep 112 | score 9507.7 | last_reward 3000.0 | loss 36.617 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #75 | ep 113 | score 9441.6 | last_reward 3000.0 | loss 51.071 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #76 | ep 114 | score 9430.7 | last_reward 3000.0 | loss 24.903 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #77 | ep 115 | score 9441.6 | last_reward 3000.0 | loss 36.768 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #78 | ep 116 | score 9442.6 | last_reward 3000.0 | loss 24.982 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #79 | ep 117 | score 9450.9 | last_reward 3000.0 | loss 56.285 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #80 | ep 118 | score 9428.9 | last_reward 3000.0 | loss 16.739 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #81 | ep 119 | score 9438.2 | last_reward 3000.0 | loss 24.999 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #82 | ep 120 | score 9498.4 | last_reward 3000.0 | loss 89.022 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #83 | ep 121 | score 9450.1 | last_reward 3000.0 | loss 20.665 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #84 | ep 122 | score 9454.4 | last_reward 3000.0 | loss 36.780 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #85 | ep 123 | score 9472.6 | last_reward 3000.0 | loss 42.462 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #86 | ep 124 | score 9484.2 | last_reward 3000.0 | loss 17.072 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #87 | ep 125 | score 9483.3 | last_reward 3000.0 | loss 62.845 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #88 | ep 126 | score 9434.0 | last_reward 3000.0 | loss 16.962 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #89 | ep 127 | score 9491.2 | last_reward 3000.0 | loss 18.922 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #90 | ep 128 | score 9439.4 | last_reward 3000.0 | loss 11.592 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #91 | ep 129 | score 9477.2 | last_reward 3000.0 | loss 12.682 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #92 | ep 130 | score 9440.6 | last_reward 3000.0 | loss 9.141 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #93 | ep 131 | score 9446.2 | last_reward 3000.0 | loss 52.134 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #94 | ep 132 | score 9477.4 | last_reward 3000.0 | loss 26.698 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #95 | ep 133 | score 9437.4 | last_reward 3000.0 | loss 40.643 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #96 | ep 134 | score 9427.4 | last_reward 3000.0 | loss 27.393 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #97 | ep 135 | score 9438.2 | last_reward 3000.0 | loss 19.277 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #98 | ep 136 | score 9436.7 | last_reward 3000.0 | loss 11.943 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #99 | ep 137 | score 9499.5 | last_reward 3000.0 | loss 28.909 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #100 | ep 138 | score 9504.8 | last_reward 3000.0 | loss 16.746 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)

==== Running experiments with batch_size: 64 (fixed replay capacity=100000) ====
[batch 64] fail          | ep 0 | score 1512.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 40 | fails_since_last 1
[batch 64] fail          | ep 1 | score 4163.2 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 83 | fails_since_last 2
[batch 64] fail          | ep 2 | score 1556.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 44 | fails_since_last 3
[batch 64] >>> SUCCESS #1 | ep 3 | score 9381.4 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 96 | attempts 4 (fails 3+1)
[batch 64] fail          | ep 4 | score 2445.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 56 | fails_since_last 1
[batch 64] fail          | ep 5 | score 1249.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 32 | fails_since_last 2
[batch 64] fail          | ep 6 | score 1963.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 44 | fails_since_last 3
[batch 64] fail          | ep 7 | score 2967.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 63 | fails_since_last 4
[batch 64] fail          | ep 8 | score 2550.2 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 55 | fails_since_last 5
[batch 64] fail          | ep 9 | score 1704.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 47 | fails_since_last 6
[batch 64] fail          | ep 10 | score 4498.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 80 | fails_since_last 7
[batch 64] fail          | ep 11 | score 2196.3 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 49 | fails_since_last 8
[batch 64] fail          | ep 12 | score 4794.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 79 | fails_since_last 9
[batch 64] fail          | ep 13 | score 2626.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 65 | fails_since_last 10
[batch 64] fail          | ep 14 | score 1142.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 48 | fails_since_last 11
[batch 64] fail          | ep 15 | score 2526.5 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 53 | fails_since_last 12
[batch 64] fail          | ep 16 | score 4499.0 | last_reward -500.0 | loss 65.074 | eps 0.883 | steps 82 | fails_since_last 13
[batch 64] fail          | ep 17 | score 2317.7 | last_reward -500.0 | loss 64.136 | eps 0.832 | steps 51 | fails_since_last 14
[batch 64] fail          | ep 18 | score 921.2 | last_reward -500.0 | loss 58.860 | eps 0.782 | steps 50 | fails_since_last 15
[batch 64] fail          | ep 19 | score 575.7 | last_reward -500.0 | loss 54.694 | eps 0.748 | steps 34 | fails_since_last 16
[batch 64] fail          | ep 20 | score 1947.0 | last_reward -500.0 | loss 46.716 | eps 0.704 | steps 44 | fails_since_last 17
[batch 64] fail          | ep 21 | score 593.7 | last_reward -500.0 | loss 41.203 | eps 0.664 | steps 40 | fails_since_last 18
[batch 64] fail          | ep 22 | score 369.6 | last_reward -500.0 | loss 37.953 | eps 0.635 | steps 29 | fails_since_last 19
[batch 64] fail          | ep 23 | score 499.0 | last_reward -500.0 | loss 30.826 | eps 0.609 | steps 26 | fails_since_last 20
[batch 64] fail          | ep 24 | score 661.8 | last_reward -500.0 | loss 27.419 | eps 0.575 | steps 34 | fails_since_last 21
[batch 64] fail          | ep 25 | score 975.1 | last_reward -500.0 | loss 21.451 | eps 0.545 | steps 30 | fails_since_last 22
[batch 64] fail          | ep 26 | score 1383.6 | last_reward -500.0 | loss 22.609 | eps 0.506 | steps 39 | fails_since_last 23
[batch 64] fail          | ep 27 | score 3271.8 | last_reward -500.0 | loss 18.654 | eps 0.447 | steps 59 | fails_since_last 24
[batch 64] fail          | ep 28 | score 95.8 | last_reward -500.0 | loss 15.969 | eps 0.422 | steps 25 | fails_since_last 25
[batch 64] fail          | ep 29 | score 785.1 | last_reward -500.0 | loss 18.691 | eps 0.392 | steps 30 | fails_since_last 26
[batch 64] fail          | ep 30 | score 623.3 | last_reward -500.0 | loss 19.840 | eps 0.365 | steps 27 | fails_since_last 27
[batch 64] >>> SUCCESS #2 | ep 31 | score 9376.6 | last_reward 3000.0 | loss 15.996 | eps 0.274 | steps 91 | attempts 28 (fails 27+1)
[batch 64] >>> SUCCESS #3 | ep 32 | score 9410.5 | last_reward 3000.0 | loss 16.715 | eps 0.183 | steps 91 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #4 | ep 33 | score 9434.4 | last_reward 3000.0 | loss 16.717 | eps 0.093 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #5 | ep 34 | score 9444.3 | last_reward 3000.0 | loss 14.246 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #6 | ep 35 | score 9491.1 | last_reward 3000.0 | loss 18.036 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #7 | ep 36 | score 9471.7 | last_reward 3000.0 | loss 16.476 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #8 | ep 37 | score 9500.8 | last_reward 3000.0 | loss 22.614 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #9 | ep 38 | score 9470.0 | last_reward 3000.0 | loss 22.050 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #10 | ep 39 | score 9447.1 | last_reward 3000.0 | loss 19.333 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #11 | ep 40 | score 9511.6 | last_reward 3000.0 | loss 16.247 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #12 | ep 41 | score 9506.9 | last_reward 3000.0 | loss 23.338 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #13 | ep 42 | score 9498.7 | last_reward 3000.0 | loss 21.515 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #14 | ep 43 | score 9496.0 | last_reward 3000.0 | loss 24.913 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #15 | ep 44 | score 9437.7 | last_reward 3000.0 | loss 17.906 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
